,artocarpus_altilis,breynia_cernua,casearia_erythrocarpa,dracaena_angustifolia,endospermum_moluccanum,eupomatia_laurina,ficus_botryocarpa,ficus_conocephalifolia,ficus_copiosa,ficus_dammaropsis,ficus_nodosa,ficus_phaeosyce,ficus_pungens,ficus_septica,ficus_trachypison,ficus_variegata,ficus_wassa,gardenia_hansemannii,homalanthus_novoguineensis,hydriastele_microspadix,kibara_coriacea,macaranga_brachytricha,macaranga_densiflora,macaranga_ducis,macaranga_quadriglandulosa,mallotus_mollissimus,melanolepis_multiglandulosa,osmoxylon_sessiliflorum,pavetta_platyclada,pimelodendron_amboinicum,premna_serratifolia,psychotria_leptothyrsa,psychotria_micralabastra,psychotria_micrococca,pterocarpus_indicus,sterculia_schumanniana,tabernaemontana_aurantiaca,timonius_timon,
CHRY023,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHRY025,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHRY026,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,
CHRY027,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,20,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHRY029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHRY031,15,0,0,0,0,0,0,2,11,0,0,2,0,0,5,7,5,0,2,0,0,17,23,3,36,26,4,0,5,5,0,0,0,0,0,15,0,0,
CHRY032,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,
CHRY038,0,0,0,0,0,0,0,8,0,6,3,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
CHRY043,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHRY044,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHRY046,7,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,6,0,5,0,0,88,45,91,77,140,13,0,0,0,0,0,0,0,0,3,0,2,
CHRY052,0,0,0,0,0,0,0,5,0,0,13,0,2,0,0,0,0,0,8,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,
CHRY054,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,233,0,0,2,5,4,6,0,2,0,0,2,0,0,0,0,0,0,0,2,
CHRY055,0,0,0,0,2,0,0,0,0,0,0,0,12,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,
