,Aciphylla scott-thompsoni,Anisotome aromatica,Anisotome flexuosa,Brachyscome sinclairii,Cassinia vauvilliersii,Celmisia discolor,Celmisia gracilenta,Celmisia laricifolia,Celmisia lyalii,Celmisia petiolata,Celmisia sessiliflora,Celmisia spectabilis,Chrysanthemum leucanthemum,Cotula pyrethrifolia,Craspedia uniflora,Donatia novae-zelandiae,Dracophyllum pronum,Epilobium sp1 M_PL_029,Euphrasia revoluta,Euphrasia zelandica,Galium perpusillum,Galium propinquum,Gentiana montana,Geum uniflorum,Hebe epacridea,Hebe odora,Hebe pinguifolia,Hebe subalpina,Helichrysum bellidioides,Helichrysum selago,Hieracium pilosella,Hieracium praealtum,Hypochaeris radicata,Kelleria dieffenbachii,Leptospermum scoparium,Leucogenes grandiceps,Muehlenbeckia axillaris,Ourisia caespitosa,Parahebe decora,Phyllachne colensoi,Pimelea traversii,Pratia angulata,Pratia macrodon,Ranunculus enysii,Raoulia grandiflora,Raoulia subsericea,Senecio scorzoneroides,Viola cunninghamii,Wahlenbergia albomarginata
Perrissina brunniceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Proscissio albiceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Proscissio kumarensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Proscission sp1 M_PL_029,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pseudofoenus pedunculatus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rhopalomerus sp1 M_PL_029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rictonis comma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scaptia adrel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scaptia brevipalpis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scoparia minisculalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
