,Achillea millefolium,Aegopodium podagraria,Allium scorodoprasum,Angelica sylvestris,Calystegia sepium,Cerastium glomeratum,Chaerophyllum temulentum,Chrysanthemum maximum,Cirsium arvense,Cirsium vulgare,Daucus carota,Echium vulgare,Epilobium montanum,Eupatorium cannabinum,Geranium robertianum,Hypericum perforatum,Juncus effusus,Lapsana communis,Lychnis flos-cuculi,Malva sylvestris,Matricaria chamomilla,Melilotus albus,Myosotis palustris,Prunella vulgaris,Ranunculus repens,Senecio jacobaea,Silene dioica,Sonchus arvensis,Sonchus palustris,Stachys palustris,Stachys sylvatica,Tanacetum vulgare,Trifolium dubium,Trifolium repens,Tripleurospermum inodorum,Verbascum thapsus,Veronica agrestis,Vicia hirsuta,Vicia sepium
Grammoptera ruficornis ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Malachius viridis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Mesapamea secalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Miarus campanulae.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Miccotrogus picirostris ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Neocnemodon sp1 M_PL_018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parasyrphus malinellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Psithyrus bohemicus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Psithyrus rupestris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rhingia campestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Rhynchites germanicus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
