,calluna_vulgaris,campanula_rotundifolia,empetrum_nigrum,chamerion_angustifolium,erica_tetralix,galium_saxatile,genista_anglica,hieracium_pilosella,hieracium_umbellatum,hypochaeris_radicata,potentilla_erecta,salix_aurita,salix_repens,scorzonera_humilis,solidago_virgaurea,trientalis_europaea,vaccinium_myrtillus,vaccinium_uliginosum,vaccinium_vitis-idaea,
Coenosia femoralis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Coenosia sp1 M_PL_047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Coenosia tigrina,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Colletes cunicularius,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Colletes succinctus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conops flavipes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conops quadrifasciatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Crossocerus leucostoma,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Cynomya mortuorum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Dilophus humeralis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Dolichovespula norwegica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Egle brevicornis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Egle minuta,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Empis tessellata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Entomophaga nigrohalterata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Eristalinus sepulchralis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Eristalis arbustorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Eristalis interrupta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eristalis intricaria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eristalis pertinax,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ernestia rudis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Formica sanguinea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Halictus confusus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Hedychrum nobile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hercostomus sp1 M_PL_047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Heterostylodes pratensis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Hydrophoria lancifer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Hydrotaea similis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hylaeus annularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Hylaeus brevicornis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Hylaeus sp1 M_PL_047,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Lasioglossum leucopus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Lasioglossum sexmaculatum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Lasiomma picipes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Leucozona lucorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Lucilia bufonivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lycaena virgaureae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lycophotia porphyrea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Megachile versicolor,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mesochorus sp1 M_PL_047,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Microgaster sp1 M_PL_047,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Morellia aenescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Neomyia cornicina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nomada flava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Nomada ruficornis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Nomada rufipes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oedemera lurida,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Orthonerva geniculata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Oxybelus mandibularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Phaonia pallida,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Phaonia serva,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Poecilobothrus nobilitatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Pollenia angustigena,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pollenia rudis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Potosia cuprea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prosternon tessellatum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rhagonycha fulva,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rhamphomyia sp1 M_PL_047,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Scaeva pyrastri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sciara sp1 M_PL_047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sphaerophoria philanthus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Sphecodes ephippius,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Sphecodes geoffrellus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
